"Wavelength (Angstroms)" "Equivalent Width" "Peak Flux"
4399.0 1.4183e-16 76.70581428714465
7951.0 5.5002e-17 56.378303743048995
3967.0 9.3321e-17 15.142279240072822
4399.0 1.4183e-16 76.70581428714465
7951.0 5.5002e-17 56.378303743048995
3967.0 9.3321e-17 15.142279240072822
